Event Date,Facility Type,Occupational Category of Person Affected,Aggressor,Type of Violence,Primary Assault Description,Primary Contributing Factors,Severity of Assault,Emotional and/ or Psychological Impact,Level of Care Needed,Response Action Taken,Assault Description,Department/Office Incident Took Place,Assault Description
10/28/2024,Other,<N/S>,Outpatient,Verbal,"Profane, Lewd or Aggressive Language",<N/S>,None,<N/S>,<N/S>,Notified Supervisor,,,
10/28/2024,Med/Surg/Inpatient,<N/S>,Inpatient,Physical,Hit w/ Fist,<N/S>,None,<N/S>,<N/S>,De-escalation Techniques Utilized; Notified Supervisor,,,
10/29/2024,Other,<N/S>,Outpatient,Verbal,"Intimidation; Profane, Lewd or Aggressive Language; Screaming or Yelling",<N/S>,None,<N/S>,<N/S>,De-escalation Techniques Utilized,,,
10/29/2024,Other,<N/S>,Outpatient,Physical,Bitten,<N/S>,Mild,None - No emotional and/or psychological impact,<N/S>,De-escalation Techniques Utilized,,,
10/29/2024,Other,<N/S>,Outpatient,Verbal,Screaming or Yelling; Threat of Violence,<N/S>,None,<N/S>,<N/S>,Notified Clinical Physician Resources; Notified Supervisor,,,
10/29/2024,Other,<N/S>,<N/S>,<N/S>,<N/S>,<N/S>,None,<N/S>,<N/S>,<N/S>,,,
10/29/2024,Other,"Nurse (RN, LPN, LNA)",Resident (LTC),Physical,Grabbed,<N/S>,Moderate,Moderate - Moderate emotional and/or psychological impact with no missed work.,Other (please specify),Notified Security; Notified Supervisor,,,
10/29/2024,Other,"Nurse (RN, LPN, LNA)",Resident (LTC),Physical,Grabbed; Pushed,<N/S>,None,<N/S>,<N/S>,Notified Security; Notified Supervisor,,,
10/29/2024,ED,<N/S>,Outpatient,Verbal,Screaming or Yelling; Threat of Violence,<N/S>,None,<N/S>,<N/S>,Notified Security,,,
10/29/2024,BC,<N/S>,Inpatient,Verbal,"Gender / Sexist Comments; Intimidation; Profane, Lewd or Aggressive Language; Racial / Cultural Comments; Screaming or Yelling; Unwelcome or Offensive Language/Gestures",<N/S>,None,<N/S>,<N/S>,Behavioral Expectations Reviewed; De-escalation Techniques Utilized; Notified Clinical Physician Resources; Notified Supervisor,,,
10/29/2024,BC,<N/S>,Inpatient,Property Damage/Vandalism,Aggression Toward an Inanimate Object,<N/S>,None,<N/S>,<N/S>,Behavioral Expectations Reviewed; Called Code Gray; De-escalation Techniques Utilized; Mechanical Restraint; Notified Clinical Physician Resources; Notified Security; Notified Supervisor; Physical Hold; Seclusion,,,
10/29/2024,BC,<N/S>,Inpatient,Property Damage/Vandalism,Aggression Toward an Inanimate Object,<N/S>,None,<N/S>,<N/S>,Behavioral Expectations Reviewed; Called Code Gray; De-escalation Techniques Utilized; Notified Security; Notified Supervisor; Physical Hold; Seclusion,,,
10/30/2024,Med/Surg/Inpatient,<N/S>,Inpatient,Verbal,"Profane, Lewd or Aggressive Language; Threat of Violence",<N/S>,None,<N/S>,<N/S>,Behavioral Expectations Reviewed; De-escalation Techniques Utilized; Notified Security; Notified Supervisor,,,
10/30/2024,Other,<N/S>,Outpatient,Verbal,"Profane, Lewd or Aggressive Language",<N/S>,None,<N/S>,<N/S>,Notified Supervisor,,,
10/30/2024,Other,<N/S>,Outpatient,Verbal,"Intimidation; Profane, Lewd or Aggressive Language; Screaming or Yelling; Unwelcome or Offensive Language/Gestures",<N/S>,None,<N/S>,<N/S>,Behavioral Expectations Reviewed; De-escalation Techniques Utilized,,,
10/30/2024,Med/Surg/Inpatient,<N/S>,Inpatient,Verbal,Intimidation; Screaming or Yelling,<N/S>,None,<N/S>,<N/S>,De-escalation Techniques Utilized; Notified Supervisor,,,
10/30/2024,Other,<N/S>,Outpatient,Verbal,"Intimidation; Profane, Lewd or Aggressive Language; Unwelcome or Offensive Language/Gestures",<N/S>,None,<N/S>,<N/S>,De-escalation Techniques Utilized; Notified Supervisor,,,
10/30/2024,Other,Rehabilitation/Therapy Services,Inpatient,Physical,Hair Pulling; Scratched,<N/S>,None,<N/S>,<N/S>,Behavioral Expectations Reviewed; De-escalation Techniques Utilized; Notified Security; Notified Supervisor,,,
10/31/2024,Med/Surg/Inpatient,"Nurse (RN, LPN, LNA)",Inpatient,Physical,Assault w/ Bodily Fluids; Hit w/ Fist; Pushed; Threat of Violence,<N/S>,None,<N/S>,<N/S>,De-escalation Techniques Utilized; Notified Clinical Physician Resources; Notified Security; Notified Supervisor; Physical Hold,,,
10/31/2024,Other,"Nurse (RN, LPN, LNA)",Resident (LTC),Physical,Hit w/ Fist,<N/S>,Mild,Moderate - Moderate emotional and/or psychological impact with no missed work.,<N/S>,De-escalation Techniques Utilized; Notified Supervisor,,,
10/31/2024,Other,<N/S>,Other,Verbal,Threat of Violence,<N/S>,None,<N/S>,<N/S>,Notified Security; Notified Supervisor,,,
10/30/2024,Med/Surg/Inpatient,"Nurse (RN, LPN, LNA)",Outpatient,Verbal,Unwelcome or Offensive Language/Gestures,<N/S>,None,<N/S>,<N/S>,Behavioral Expectations Reviewed; Notified Supervisor,,,
10/31/2024,ED,<N/S>,Inpatient,Physical,Stepped on feet; Struck,<N/S>,None,<N/S>,<N/S>,Behavioral Expectations Reviewed; De-escalation Techniques Utilized; Notified Clinical Physician Resources; Notified Security; Notified Supervisor; Physical Hold,,,
10/31/2024,BC,<N/S>,Outpatient,Verbal,"Intimidation; Profane, Lewd or Aggressive Language; Screaming or Yelling",<N/S>,None,<N/S>,<N/S>,Called 911; De-escalation Techniques Utilized; Notified Supervisor,,,
10/31/2024,Other,<N/S>,Inpatient,Physical,Hit w/ Fist; Threat of Violence; Scratched,<N/S>,None,<N/S>,<N/S>,De-escalation Techniques Utilized,,,
11/1/2024,ED,<N/S>,Inpatient,Verbal,"Intimidation; Profane, Lewd or Aggressive Language; Screaming or Yelling",<N/S>,None,<N/S>,<N/S>,Notified Clinical Physician Resources; Notified Security,,,
11/1/2024,BC,<N/S>,Inpatient,Physical,Assault w/ Bodily Fluids; Unwelcome or Offensive Touching,<N/S>,None,<N/S>,<N/S>,Behavioral Expectations Reviewed; Called Code Gray; De-escalation Techniques Utilized; Physical Hold; Seclusion,,,
11/1/2024,Other,<N/S>,Inpatient,Verbal,Threat of Violence,<N/S>,None,<N/S>,<N/S>,De-escalation Techniques Utilized; Notified Supervisor,,,
11/1/2024,Other,<N/S>,Outpatient,Verbal,"Profane, Lewd or Aggressive Language",<N/S>,None,<N/S>,<N/S>,Notified Supervisor,,,
10/31/2024,Other,<N/S>,Other,Physical,Intimidation,<N/S>,None,<N/S>,<N/S>,Called 911; Notified Security; Seclusion,,,
10/31/2024,Other,<N/S>,Outpatient,Verbal,"Profane, Lewd or Aggressive Language; Screaming or Yelling",<N/S>,None,<N/S>,<N/S>,Notified Supervisor,,,
10/31/2024,Other,<N/S>,Inpatient,Physical,Kicked,<N/S>,Moderate,None - No emotional and/or psychological impact,<N/S>,De-escalation Techniques Utilized; Mechanical Restraint; Notified Supervisor; Physical Hold,,,
11/1/2024,Other,<N/S>,Outpatient,Physical,Bitten,<N/S>,Mild,None - No emotional and/or psychological impact,<N/S>,De-escalation Techniques Utilized,,,
11/1/2024,SCU,<N/S>,Inpatient,Verbal,"Intimidation; Profane, Lewd or Aggressive Language; Screaming or Yelling; Threat of Violence",<N/S>,None,<N/S>,<N/S>,Behavioral Expectations Reviewed; Called Code Gray; De-escalation Techniques Utilized; Notified Security; Notified Supervisor,,,
11/2/2024,ED,<N/S>,Inpatient,Physical,Hair Pulling,<N/S>,None,<N/S>,<N/S>,De-escalation Techniques Utilized,,,
11/3/2024,Other,<N/S>,Inpatient,Physical,Aggression Toward an Inanimate Object; Grabbed; hit with arm/hand; Pushed; Threat of Violence,<N/S>,Moderate,Mild - Upset / Angry / Scared / Humiliated,ED,De-escalation Techniques Utilized; Notified Supervisor; Physical Hold,,,
11/3/2024,BC,<N/S>,Inpatient,Verbal,Gender / Sexist Comments; Unwelcome or Offensive Language/Gestures,<N/S>,None,<N/S>,<N/S>,De-escalation Techniques Utilized; Notified Supervisor,,,
11/3/2024,ED,<N/S>,Inpatient,Verbal,Intimidation,<N/S>,None,<N/S>,<N/S>,Called 911; Notified Security,,,
11/3/2024,Other,<N/S>,Inpatient,Physical,Slapped,<N/S>,None,<N/S>,<N/S>,Behavioral Expectations Reviewed; De-escalation Techniques Utilized; Notified Clinical Physician Resources; Notified Security,,,
11/3/2024,Other,<N/S>,Inpatient,Physical,Grabbed; Hit w/ Fist; Scratched; Threat of Violence,<N/S>,Moderate,Mild - Upset / Angry / Scared / Humiliated,Other (please specify),Called Code Gray; Notified Security; Notified Supervisor; Physical Hold,,,
11/4/2024,ED,<N/S>,Inpatient,Physical,Grabbed; Hair Pulling,<N/S>,None,<N/S>,<N/S>,De-escalation Techniques Utilized; Notified Security; Notified Supervisor; Physical Hold,,,
11/4/2024,ED,<N/S>,Inpatient,Physical,Grabbed; Hair Pulling; Pushed; Scratched,<N/S>,None,<N/S>,<N/S>,Called Code Gray; De-escalation Techniques Utilized; Notified Security; Notified Supervisor,,,
10/31/2024,Other,<N/S>,Other,Verbal,"Profane, Lewd or Aggressive Language; Unwelcome or Offensive Language/Gestures",<N/S>,None,<N/S>,<N/S>,Notified Supervisor,,,
11/4/2024,Other,Allied Health/Technologist,Inpatient,Physical,Hit w/ Fist,<N/S>,None,<N/S>,<N/S>,Notified Supervisor,,,
11/4/2024,Other,<N/S>,Outpatient,Verbal,Gender / Sexist Comments,<N/S>,None,<N/S>,<N/S>,Notified Supervisor,,,
11/4/2024,Other,<N/S>,Outpatient,Verbal,Intimidation; Screaming or Yelling,<N/S>,None,<N/S>,<N/S>,Notified Supervisor,,,
11/4/2024,Other,<N/S>,Resident (LTC),Verbal,Screaming or Yelling; Threat of Violence,<N/S>,None,<N/S>,<N/S>,Behavioral Expectations Reviewed; De-escalation Techniques Utilized,,,
11/4/2024,Other,<N/S>,Other,Physical,Threat of Violence,<N/S>,None,<N/S>,<N/S>,Behavioral Expectations Reviewed; Notified Supervisor,,,
11/5/2024,Other,<N/S>,Outpatient,Verbal,Screaming or Yelling,<N/S>,None,<N/S>,<N/S>,De-escalation Techniques Utilized,,,
11/5/2024,ED,<N/S>,Outpatient,Physical,Scratched; Slapped,<N/S>,None,<N/S>,<N/S>,Seclusion,,,
11/5/2024,Other,"Nurse (RN, LPN, LNA)",Outpatient,Verbal,"Profane, Lewd or Aggressive Language",N/A or Unknown,None,<N/S>,<N/S>,Behavioral Expectations Reviewed; De-escalation Techniques Utilized,,,
11/5/2024,Other,"Nurse (RN, LPN, LNA)",Outpatient,Verbal,"Profane, Lewd or Aggressive Language; Screaming or Yelling; Threat of Violence",N/A or Unknown,None,<N/S>,<N/S>,Behavioral Expectations Reviewed; Notified Clinical Physician Resources; Notified Supervisor,,,
11/5/2024,Other,<N/S>,Outpatient,Verbal,Screaming or Yelling,<N/S>,None,<N/S>,<N/S>,Called 911; De-escalation Techniques Utilized,,,
11/5/2024,BC,<N/S>,Inpatient,Physical,Hit w/ Object,<N/S>,Mild,None - No emotional and/or psychological impact,Other (please specify),Called Code Gray,,,
11/6/2024,Other,<N/S>,Inpatient,Physical,Assault w/ Bodily Fluids,<N/S>,None,<N/S>,<N/S>,Mechanical Restraint,,,
11/6/2024,Other,Allied Health/Technologist,Outpatient,Verbal,"Gender / Sexist Comments; Intimidation; Profane, Lewd or Aggressive Language; Threat of Violence",N/A or Unknown,None,<N/S>,<N/S>,De-escalation Techniques Utilized; Notified Supervisor,,,
11/5/2024,Other,<N/S>,Other,Verbal,Pt reportedly violent towards E/R Dr & verbally assaultive towards pt,<N/S>,None,<N/S>,<N/S>,Behavioral Expectations Reviewed; Notified Supervisor,,,
11/6/2024,Other,<N/S>,Outpatient,Verbal,Intimidation,<N/S>,None,<N/S>,<N/S>,Notified Security,,,
11/6/2024,BC,<N/S>,Inpatient,Physical,Intimidation,<N/S>,None,<N/S>,<N/S>,Called Code Gray,,,
11/5/2024,Other,"Nurse (RN, LPN, LNA)",Inpatient,Physical,Hit w/ Fist; Hit w/ Object,N/A or Unknown,None,<N/S>,<N/S>,Behavioral Expectations Reviewed; De-escalation Techniques Utilized; Notified Supervisor,,,
11/5/2024,Other,<N/S>,Outpatient,Verbal,Gender / Sexist Comments; Unwelcome or Offensive Language/Gestures,<N/S>,None,<N/S>,<N/S>,Notified Supervisor,,,
11/5/2024,Other,<N/S>,Visitor,Verbal,Intimidation; Screaming or Yelling,<N/S>,None,<N/S>,<N/S>,De-escalation Techniques Utilized; Notified Supervisor,,,
11/7/2024,ED,"Nurse (RN, LPN, LNA)",Outpatient,Property Damage/Vandalism,Aggression Toward an Inanimate Object,<N/S>,None,<N/S>,<N/S>,Called 911; Seclusion,,,
11/7/2024,ED,"Nurse (RN, LPN, LNA)",Outpatient,Property Damage/Vandalism,Aggression Toward an Inanimate Object,<N/S>,None,<N/S>,<N/S>,Behavioral Expectations Reviewed; Called 911; De-escalation Techniques Utilized; Notified Clinical Physician Resources; Notified Security; Notified Supervisor,,,
11/7/2024,Other,<N/S>,Outpatient,Verbal,Intimidation; Threat of Violence,<N/S>,None,<N/S>,<N/S>,De-escalation Techniques Utilized; Notified Supervisor,,,
11/7/2024,Other,"Nurse (RN, LPN, LNA)",Inpatient,Physical,Grabbed; Hair Pulling; Scratched,<N/S>,None,<N/S>,<N/S>,Called Code Gray,,,
11/7/2024,Other,Administration/Support Services,Outpatient,Physical,Sexual Harrasment,N/A or Unknown,None,<N/S>,<N/S>,Behavioral Expectations Reviewed; De-escalation Techniques Utilized; Notified Supervisor,,,
11/7/2024,Other,Administration/Support Services,Resident (LTC),Physical,Aggression Toward an Inanimate Object,N/A or Unknown,None,<N/S>,<N/S>,De-escalation Techniques Utilized,,,
11/7/2024,Other,<N/S>,Resident (LTC),Physical,Aggression Toward an Inanimate Object; Grabbed; Hit w/ Fist; Pushed; Threat of Violence,<N/S>,Mild,Moderate - Moderate emotional and/or psychological impact with no missed work.,Other (please specify),De-escalation Techniques Utilized; Notified Security,,,
11/7/2024,Other,Administration/Support Services,Outpatient,Written/Digital,racists affiliation/paraphernalia,<N/S>,None,<N/S>,<N/S>,Notified Supervisor,,,
11/8/2024,Other,<N/S>,Visitor,Verbal,"Intimidation; Profane, Lewd or Aggressive Language; Screaming or Yelling; Threat of Violence",<N/S>,None,<N/S>,<N/S>,Behavioral Expectations Reviewed; De-escalation Techniques Utilized; Notified Security; Notified Supervisor,,,
11/8/2024,Other,<N/S>,Other,Verbal,Screaming or Yelling; Unwelcome or Offensive Language/Gestures,<N/S>,None,<N/S>,<N/S>,Behavioral Expectations Reviewed; De-escalation Techniques Utilized,,,
11/5/2024,Other,<N/S>,Other,Physical,dog bite,<N/S>,Mild,Moderate - Moderate emotional and/or psychological impact with no missed work.,Other (please specify),Physical Hold,,,
11/8/2024,Other,<N/S>,Outpatient,Verbal,"Profane, Lewd or Aggressive Language; Screaming or Yelling; Unwelcome or Offensive Language/Gestures",<N/S>,None,<N/S>,<N/S>,De-escalation Techniques Utilized; Notified Supervisor,,,
11/8/2024,ED,<N/S>,Other,Verbal,"Intimidation; Profane, Lewd or Aggressive Language; Screaming or Yelling; Unwelcome or Offensive Language/Gestures",<N/S>,None,<N/S>,<N/S>,Behavioral Expectations Reviewed; De-escalation Techniques Utilized; Notified Security; Notified Supervisor,,,
11/8/2024,BC,<N/S>,Inpatient,Physical,Grabbed; Scratched,<N/S>,Mild,None - No emotional and/or psychological impact,Other (please specify),Called Code Gray; Physical Hold,,,
11/8/2024,ED,<N/S>,Inpatient,Physical,Kicked,<N/S>,None,<N/S>,<N/S>,Physical Hold,,,
11/9/2024,Other,<N/S>,Resident (LTC),Verbal,Screaming or Yelling,<N/S>,None,<N/S>,<N/S>,De-escalation Techniques Utilized,,,
11/9/2024,ED,<N/S>,Inpatient,Physical,Kicked,<N/S>,Moderate,None - No emotional and/or psychological impact,ED,Physical Hold,,,
11/9/2024,ED,<N/S>,Outpatient,Physical,Hit w/ Fist; Kicked,<N/S>,Mild,Mild - Upset / Angry / Scared / Humiliated,ED,Behavioral Expectations Reviewed; Called Code Gray; De-escalation Techniques Utilized; Notified Clinical Physician Resources; Notified Security; Notified Supervisor; Physical Hold,,,
11/10/2024,Other,<N/S>,Inpatient,Physical,Scratched; Slapped,<N/S>,Moderate,None - No emotional and/or psychological impact,Other (please specify),De-escalation Techniques Utilized; Notified Supervisor,,,
11/10/2024,ED,<N/S>,Inpatient,Physical,Assault w/ Bodily Fluids; Bitten; Hit w/ Fist; Intimidation; Threat of Violence,<N/S>,Mild,Mild - Upset / Angry / Scared / Humiliated,ED,Called 911; Chemical Restraint; Mechanical Restraint; Notified Security; Physical Hold; Seclusion,,,
11/10/2024,ED,<N/S>,Outpatient,Physical,Hit w/ Fist,<N/S>,None,<N/S>,<N/S>,Chemical Restraint; Mechanical Restraint; Notified Security; Notified Supervisor; Physical Hold,,,
11/10/2024,ED,<N/S>,Outpatient,Physical,Hair Pulling; head butt,<N/S>,Other,Mild - Upset / Angry / Scared / Humiliated,Other (please specify),De-escalation Techniques Utilized; Notified Clinical Physician Resources; Notified Supervisor,,,
11/10/2024,BC,"Nurse (RN, LPN, LNA)",Inpatient,Physical,physical hold,<N/S>,Moderate,None - No emotional and/or psychological impact,<N/S>,Physical Hold,,,
11/10/2024,Other,<N/S>,Inpatient,Physical,Grabbed; Hit w/ Fist; Scratched,<N/S>,None,<N/S>,<N/S>,Behavioral Expectations Reviewed; De-escalation Techniques Utilized; Notified Clinical Physician Resources; Notified Security; Notified Supervisor,,,
11/10/2024,Other,<N/S>,Inpatient,Physical,Hair Pulling; Scratched,<N/S>,Moderate,None - No emotional and/or psychological impact,Other (please specify),Behavioral Expectations Reviewed; Called Code Gray; De-escalation Techniques Utilized; Notified Security; Notified Supervisor,,,
10/11/2024,ED,<N/S>,Other,Verbal,Intimidation; Stalking or Terrorizing,<N/S>,None,<N/S>,<N/S>,Notified Supervisor,,,
11/11/2024,ED,<N/S>,Inpatient,Verbal,Threat of Violence,<N/S>,None,<N/S>,<N/S>,Behavioral Expectations Reviewed; De-escalation Techniques Utilized; Notified Supervisor,,,
11/11/2024,Other,<N/S>,<N/S>,<N/S>,<N/S>,<N/S>,None,<N/S>,<N/S>,<N/S>,,,
11/11/2024,Other,"Nurse (RN, LPN, LNA)",Outpatient,Verbal,"Profane, Lewd or Aggressive Language; Screaming or Yelling; Unwelcome or Offensive Language/Gestures",<N/S>,None,<N/S>,<N/S>,De-escalation Techniques Utilized; Notified Supervisor; Seclusion,,,
11/11/2024,BC,<N/S>,Inpatient,Verbal,Threat of Violence,<N/S>,None,<N/S>,<N/S>,De-escalation Techniques Utilized; Notified Security; Notified Supervisor,,,
11/10/2024,ED,<N/S>,Other,Verbal,"Profane, Lewd or Aggressive Language; Screaming or Yelling; Threat of Violence; Unwelcome or Offensive Language/Gestures",<N/S>,None,<N/S>,<N/S>,Notified Security,,,
11/12/2024,Other,<N/S>,Inpatient,Physical,Grabbed,<N/S>,Moderate,None - No emotional and/or psychological impact,Other (please specify),Chemical Restraint; De-escalation Techniques Utilized; Notified Clinical Physician Resources,,,
11/11/2024,Other,<N/S>,Inpatient,Physical,Hit w/ Fist; Intimidation; Threat of Violence,<N/S>,None,<N/S>,<N/S>,Called Code Gray; Chemical Restraint; De-escalation Techniques Utilized; Notified Clinical Physician Resources; Notified Security; Notified Supervisor; Physical Hold,,,
11/12/2024,Other,<N/S>,Inpatient,Physical,Grabbed,<N/S>,Mild,None - No emotional and/or psychological impact,Other (please specify),Chemical Restraint; De-escalation Techniques Utilized,,,
11/12/2024,Other,<N/S>,Other,Verbal,"Gender / Sexist Comments; Intimidation; Profane, Lewd or Aggressive Language; Screaming or Yelling; Threat of Violence; Unwelcome or Offensive Language/Gestures",<N/S>,None,<N/S>,<N/S>,Behavioral Expectations Reviewed; De-escalation Techniques Utilized; Notified Supervisor,,,
11/12/2024,ED,<N/S>,Outpatient,Verbal,Gender / Sexist Comments; Screaming or Yelling; Unwelcome or Offensive Language/Gestures,<N/S>,None,<N/S>,<N/S>,Behavioral Expectations Reviewed; De-escalation Techniques Utilized; Notified Clinical Physician Resources; Notified Security; Notified Supervisor,,,
11/12/2024,Other,<N/S>,Inpatient,Verbal,"Gender / Sexist Comments; Intimidation; Profane, Lewd or Aggressive Language; Screaming or Yelling; Unwelcome or Offensive Language/Gestures",<N/S>,None,<N/S>,<N/S>,Behavioral Expectations Reviewed; De-escalation Techniques Utilized; Notified Supervisor,,,
11/8/2024,Other,<N/S>,Outpatient,Verbal,"Profane, Lewd or Aggressive Language",<N/S>,None,<N/S>,<N/S>,<N/S>,,,
11/12/2024,ED,<N/S>,Other,Physical,Pushed,<N/S>,Severe,Mild - Upset / Angry / Scared / Humiliated,ED,Chemical Restraint; Notified Security; Physical Hold,,,
11/12/2024,ED,<N/S>,Inpatient,Physical,Hit w/ Fist; Hit w/ Object; Intimidation; Threat of Violence,<N/S>,None,<N/S>,<N/S>,Behavioral Expectations Reviewed; Chemical Restraint; De-escalation Techniques Utilized; Notified Clinical Physician Resources; Notified Security; Notified Supervisor; Physical Hold,,,
11/12/2024,Other,<N/S>,Inpatient,Physical,Bitten,<N/S>,Other,Moderate - Moderate emotional and/or psychological impact with no missed work.,ED,Called Code Gray,,,
11/13/2024,Other,<N/S>,Outpatient,Verbal,Screaming or Yelling; Unwelcome or Offensive Language/Gestures,<N/S>,None,<N/S>,<N/S>,Notified Supervisor,,,
11/13/2024,Other,<N/S>,Outpatient,Verbal,Screaming or Yelling,<N/S>,None,<N/S>,<N/S>,Notified Supervisor,,,
11/13/2024,Other,<N/S>,Other,Verbal,threatening-maybe gender biased,<N/S>,None,<N/S>,<N/S>,De-escalation Techniques Utilized,,,
11/10/2024,ED,<N/S>,Outpatient,Physical,Bitten; Hit w/ Fist; Pushed,<N/S>,Mild,Moderate - Moderate emotional and/or psychological impact with no missed work.,<N/S>,Chemical Restraint; Mechanical Restraint; Notified Security; Notified Supervisor; Physical Hold,,,
11/13/2024,Other,Administration/Support Services,Outpatient,Verbal,"Intimidation; Profane, Lewd or Aggressive Language; Screaming or Yelling; Unwelcome or Offensive Language/Gestures",N/A or Unknown,None,<N/S>,<N/S>,De-escalation Techniques Utilized; Notified Clinical Physician Resources; Notified Supervisor,,,
11/13/2024,ED,<N/S>,Outpatient,Verbal,"Gender / Sexist Comments; Intimidation; Profane, Lewd or Aggressive Language; Racial / Cultural Comments; Screaming or Yelling; Stalking or Terrorizing; Threat of Violence; Unwelcome or Offensive Language/Gestures",<N/S>,None,<N/S>,<N/S>,Called 911; Called Code Gray; Notified Clinical Physician Resources; Notified Security; Notified Supervisor,,,
11/14/2024,ED,Allied Health/Technologist,Inpatient,Physical,Grabbed; Hit w/ Fist; Intimidation; Kicked; Scratched; Threat of Violence,<N/S>,Mild,Moderate - Moderate emotional and/or psychological impact with no missed work.,ED,Behavioral Expectations Reviewed; Chemical Restraint; De-escalation Techniques Utilized; Mechanical Restraint; Notified Clinical Physician Resources; Notified Security; Notified Supervisor; Physical Hold,,,
11/14/2024,ED,<N/S>,Inpatient,Physical,Scratched,<N/S>,Moderate,None - No emotional and/or psychological impact,ED,Physical Hold,,,
11/14/2024,Other,Administration/Support Services,Inpatient,Verbal,"Intimidation; Profane, Lewd or Aggressive Language; Unwelcome or Offensive Language/Gestures",<N/S>,None,<N/S>,<N/S>,Notified Supervisor,,,
11/14/2024,Other,<N/S>,Other,Verbal,Intimidation; Screaming or Yelling,<N/S>,None,<N/S>,<N/S>,Behavioral Expectations Reviewed; De-escalation Techniques Utilized,,,
11/13/2024,Other,<N/S>,Other,Written/Digital,"Profane, Lewd or Aggressive Language",<N/S>,None,<N/S>,<N/S>,Notified Supervisor,,,
11/14/2024,Other,Administration/Support Services,Visitor,Verbal,Intimidation,N/A or Unknown,None,<N/S>,<N/S>,De-escalation Techniques Utilized,,,
11/14/2024,Other,<N/S>,Inpatient,Physical,Bitten; Grabbed; Kicked; Scratched,<N/S>,Mild,Mild - Upset / Angry / Scared / Humiliated,ED,Mechanical Restraint; Notified Supervisor; Physical Hold,,,
11/14/2024,Other,<N/S>,Inpatient,Physical,Hit w/ Fist,<N/S>,Other,None - No emotional and/or psychological impact,<N/S>,Behavioral Expectations Reviewed; De-escalation Techniques Utilized,,,
11/11/2024,Other,<N/S>,Inpatient,Physical,Threat of Violence,<N/S>,None,<N/S>,<N/S>,De-escalation Techniques Utilized,,,
11/15/2024,BC,<N/S>,Inpatient,Physical,Assault w/ Bodily Fluids; Grabbed; Intimidation; Kicked; Scratched; Slapped; Threat of Violence,<N/S>,None,<N/S>,<N/S>,Called Code Gray,,,
11/13/2024,ED,<N/S>,Outpatient,Verbal,"Intimidation; Profane, Lewd or Aggressive Language; Racial / Cultural Comments; Screaming or Yelling; Threat of Violence; Unwelcome or Offensive Language/Gestures",<N/S>,None,<N/S>,<N/S>,Called 911; De-escalation Techniques Utilized; Notified Security; Notified Supervisor,,,
11/15/2024,Other,<N/S>,Outpatient,Verbal,threatening legal action and making accusations against provider,<N/S>,None,<N/S>,<N/S>,De-escalation Techniques Utilized; Notified Supervisor,,,
11/15/2024,ED,<N/S>,Inpatient,Physical,Aggression Toward an Inanimate Object; Bitten; Intimidation; Threat of Violence,<N/S>,None,<N/S>,<N/S>,Mechanical Restraint; Physical Hold,,,
11/15/2024,BC,<N/S>,Inpatient,Physical,Assault w/ Bodily Fluids,<N/S>,None,<N/S>,<N/S>,Called Code Gray; De-escalation Techniques Utilized; Mechanical Restraint; Physical Hold,,,
11/15/2024,Other,<N/S>,Outpatient,Written/Digital,Intimidation; Unwelcome or Offensive Language/Gestures,<N/S>,None,<N/S>,<N/S>,Notified Security; Notified Supervisor,,,
11/15/2024,Other,<N/S>,Inpatient,Physical,Bitten; Hit w/ Object,<N/S>,None,<N/S>,<N/S>,Notified Supervisor,,,
11/15/2024,Other,Allied Health/Technologist,Outpatient,Verbal,Screaming or Yelling,N/A or Unknown,None,<N/S>,<N/S>,De-escalation Techniques Utilized,,,
11/15/2024,Other,Allied Health/Technologist,Visitor,Verbal,Intimidation; Screaming or Yelling,N/A or Unknown,None,<N/S>,<N/S>,Called 911; Notified Supervisor,,,
11/15/2024,Other,Allied Health/Technologist,Visitor,Physical,Intimidation; Pushed; Threat of Violence,N/A or Unknown,None,<N/S>,<N/S>,Behavioral Expectations Reviewed; Called 911; De-escalation Techniques Utilized; Notified Supervisor,,,
11/15/2024,Other,Allied Health/Technologist,Outpatient,Verbal,"Intimidation; Profane, Lewd or Aggressive Language; Screaming or Yelling",N/A or Unknown,None,<N/S>,<N/S>,Called 911; De-escalation Techniques Utilized,,,
11/15/2024,Other,<N/S>,Inpatient,Physical,Aggression Toward an Inanimate Object; Bitten; Hair Pulling; hit with open hand ,<N/S>,Mild,Moderate - Moderate emotional and/or psychological impact with no missed work.,Other (please specify),De-escalation Techniques Utilized; Notified Clinical Physician Resources; Notified Supervisor,,,
11/16/2024,BC,<N/S>,Inpatient,Physical,Scratched; Slapped,<N/S>,Mild,Mild - Upset / Angry / Scared / Humiliated,<N/S>,Called Code Gray; De-escalation Techniques Utilized; Notified Clinical Physician Resources; Notified Supervisor,,,
11/15/2024,Other,Allied Health/Technologist,Inpatient,Physical,Hit w/ Fist; Threw object at me (trash can),<N/S>,None,<N/S>,<N/S>,Behavioral Expectations Reviewed; Called Code Gray; De-escalation Techniques Utilized; Notified Security; Notified Supervisor,,,
11/16/2024,ED,"Nurse (RN, LPN, LNA)",Outpatient,Physical,Grabbed; Hair Pulling; Scratched,<N/S>,Mild,Moderate - Moderate emotional and/or psychological impact with no missed work.,Other (please specify),Notified Security,,,
