Event Date,Physical Injury Incurred? Level of Care,Type of Person Affected,Occupational category of Person Impacted,Type of Violence,Primary Assault Description ,Immediate Actions (Reported),Contributing Factors (Reported),Nature of Injury,Location of Injury on Body,Emotional and/or Psychological Impact,Assault Description,Care/Service Area,Department,OSHA Recordable?,Law Enforcement Contacted,Charges Pressed
11/23/2024,No,Employee,Staff Nurse,Threat of Violence,Verbal,Other,Other,  ,,  ,"Patient came in as an MVA. The husband came into the ED entrance and approached pivot at appx 0100. RN had stated she was in the middle of a triage with another patient, and she asked him to step back into the entrance until she was finished. RN stated that he was derogatory towards her and initially wouldn't step back. RN#1 took over pivot at 0100 and called me telling me a visitor wanted to speak to me. I went out to pivot, and he was standing next to security. He asked me what the supervisor's name that was on tonight. I wasn't aware at that time what had happened, so I asked him what his concern was. He wouldn't tell me, stated he was a manager with Northern Light and stated, ""I'll call the operator and find out."" I had asked him what his name was, and he told me.? RN#1 walked back with me and was visibly shaking, stated that she felt threatened by this visitor. She stated that she was triaging a patient and asked him to step back into the entrance and he wouldn't. I then reached out to House Manager and explained what had happened and she came down to speak with the visitor.  When the ambulance had pulled in with the patient the visitor started to come through to security. I had called security, explained that I wasn't exactly sure what was going on and that I wanted to have the patient settled and have House Manager talk with him before we allowed the visitor to come back.
Dr.? stated that this visitor told him he was a lawyer, stated to me he worked for legal, stated to RN#2 that he was a doctor. House Manager stated that security, stated to her that when he worked here, he worked for the switchboard.? 

I spoke to RN; she stated she overheard the visitor talking to Dr. and stated to him ""I have her badge number"", and he had also stated to RN "" I'm a manager and I can have you fired"" and that's why she felt threatened.
",Emergency Department,Emergency Department,  ,,
11/17/2024,No,"Affiliate (contracted staff, student)",Security Guard,Abuse/Assault (Physical),  ,No Action,Action by Patient/Resident; Agitated,  ,,  ,"On 11/17/2024 at 0200 a Strongline Alert has been activated staff on Grant 4 by Room 420; security supervisor is notified. Dispatch notifies all available Officers. All available officers are en-route to the floor. At 0203 security arrives on the floor. Medical staff inform security that the patient got out of bed, triggered the bed alarm and attempted to splash urine at a nurse. The patient slammed the door in the face of medical staff. Security is given a towel by medical staff and opens the door with caution. Security finds the patient laying on the floor as though he were attempting to sleep. Security and medical staff begin to adjust the patient into a seated position before lifting him to his feet and escorting him to bedside. During this process, the patient attempts to swing at security and staff several times before successfully kicking security in the face. Security speaks with the affected officer, he does not want to press charges or seek medical treatment. The EAP is offered, house manager is notified. A nurse states that it is hard to determine whether the patient is fully aware of his actions due to refusal to answer orienting questions. At 0243 security reports security is now clear from the floor.",Cardiac Unit - G4,Patient Unit - Cardiac Tele/Intermediate Care,  ,,
11/8/2024,Unknown,"Affiliate (contracted staff, student)",Security Guard,Abuse/Assault (Physical),  ,No Action; Other,Other,  ,,  ,"On Friday, November 8, 2024 at approximately 1250 the patient leaves ESA Room 35, at approximately 1251 Security enters the ESA adolescent side where the patient attempts to strike him and threw his food tray at Security at approximately 1252 Security escorts the patient to ESA Room 35 where he placed on seclusion at approximately 1253 per (Asst Mgr ?C Nursing, ED). Security clears. Security denies pressing charges and denies medical attention and EAP. (RN) states that the patient has the mental capacity to be aware of his actions. ",Emergency Department,Emergency Department,  ,,
11/3/2024,No,"Affiliate (contracted staff, student)",Security Guard,Abuse/Assault (Physical),  ,Disciplinary Action,Agitated; Patient - Lack of Compliance/Adherence,  ,,  ,"On Sunday 11/3/2024 at approximately 1229, Security in the DEA reports that the patient on the Adolescent Side is punching the half-wall plexiglass and kicking another patient??s chair. Security physically escorts the patient into room 33 per medical staff. Once in 33, Security places the patient in a physical hold. Medical staff convinces the patient to take oral medication. At 1235 the patient takes oral medication willingly. The patient deescalates and returns to the Adolescent Side. During the physical hold, Security was kicked in the inner left thigh by the patient. EAP was offered. The officer did not wish to seek medical attention or press charges. House Manager notified. Per medical staff, the patient is aware of his actions. Please reference Security Case Report for further information.",Emergency Department,Emergency Department,  ,,
11/5/2024,Unknown,"Affiliate (contracted staff, student)",Security Guard,Abuse/Assault (Physical),Kicking/Hitting/Beating,Other,Action by Patient/Resident; Agitated; Other,  ,,  ,"On Tuesday, November 5th, 2024, at approximately 1651, Security Officer states that they are removing the chairs from the ESA Adolescent Common Area due to the Adolescent Patient using a chair to barricade the ESA Common Area Dividing Door, Security enroute. At approximately 1653, Security arrives in the ESA Adolescent Common Area. Per the Nurse, Security physically carries the Adolescent Patient from the ESA Adolescent Common Area to ESA Room 33. During the escort patient was able to?kick Ofc in the chest.? Ofc states that they don??t want medical treatment, criminal charges, or the employee 
assistance program.Security Supervisor notified House Manager of the incident.?The Nurse states that the Adolescent Patient has the mental capacity to be aware of their actions at the time of the incident. No Injuries and No Property Damage. 
",Emergency Department,Emergency Department,  ,,
11/5/2024,Unknown,"Affiliate (contracted staff, student)",Security Guard,Abuse/Assault (Physical),  ,Other,Action by Patient/Resident; Agitated; Other,  ,,  ,"On Tuesday, November 5th, 2024, at approximately 1651, Security Officer states that they are removing the chairs from the ESA Adolescent Common Area due to the Adolescent Patient using a chair to barricade the ESA Common Area Dividing Door, Security enroute. At approximately 1653, Security arrives in the ESA Adolescent Common Area. Per the Nurse, Security physically carries the Adolescent Patient from the ESA Adolescent Common Area to ESA Room 33. When?entering ESA Room 33, patient was able to grab Sgt. by the hair.?Security was able to release the grip on the hair?The Security Supervisor that had their hair pulled does not want medical treatment, criminal charges, or employee assistance program. Security Supervisor notified House Manager of the incident.?The Nurse states that the Adolescent Patient has the mental capacity to be aware of their actions at the time of the incident. No Injuries and No Property Damage. 
",Emergency Department,Emergency Department,  ,,
11/6/2024,Unknown,"Affiliate (contracted staff, student)",Security Guard,Abuse/Assault (Physical),Biting; Kicking/Hitting/Beating,No Action; Other,Other,  ,,  ,"On Wednesday November 6, 2024, Security escorts the patient back to ESA Room 29 and is placed in a hold. At?approximately 0811 the patient bites Security Officer in the inner forearm and kicks him and Security Officer. At that same time the patient is escorted to ESA Room 33 to be placed on seclusion per (RN). Security?Officers both deny pressing charges and denies both EAP and medical attention. (RN) states?that the patient has the mental capacity to be aware of his actions. Security cleared without further incident",Emergency Department,Emergency Department,  ,,
11/13/2024,No,"Affiliate (contracted staff, student)",Security Guard,Abuse/Assault (Physical),  ,Other,Action by Patient/Resident; Agitated; Other,  ,,  ,"On Wednesday, November 13th, 2024, at approximately 1905, Security Officer request additional officer in ESA Overflow, Security enroute. The Adolescent Patient kicked the Security Officer in the left leg. The Security Officer states that they don??t want medical treatment, criminal charges, or the employee assistance program.? Security is clear without further incident. The Nurse states that the Adolescent Patient has the mental capacity to be aware of their actions at the time of the incident. 
No Injuries and No Property Damage. 
",Emergency Department,Emergency Department,  ,,
11/6/2024,No,Employee,Staff Nurse,Abuse/Assault (Physical),  ,Chemical Restraint/Medication administered; De-escalation techniques,Altered Mental Status; Self-Injurious Behavior,  ,,  ,"patient placed in seclusion r/t mental health condition.? Patient seen wrapping shirt around neck. I went in and as soon as door unlocked, she stood up and tried to elope.? With the assistance of staff here, we managed to hold the door and keep her in the room.? 1332 my arm became pinched in the door via patient trying to force her way out.? ?Team verbalized a plan, we knew roles and opened the door, assisted patient onto floor and back into room safely.?",Emergency Department,Emergency Department,  ,,
11/15/2024,No,Employee,Staff Nurse,Abuse/Assault (Physical),  ,De-escalation techniques; Reported to department leader; Seclusion of Patient,Patient - Lack of Compliance/Adherence; Patient - Lack of Understanding,  ,,  ,"Pt unable to de-escalate after being told the WII was being put away. Pt attempted to throw an Item at a staff member. Security became involved. RN attempted to verbally de-escalate the Pt, pt became more upset and was threatening to throw items at this RN. RN told pt that because they could not be safe that we were going to take items away. Pt started grabbing at security and RN. RN initiated a physical hold in order to get pt to seclusion so they could be in a less stimulating environment. Pt kicked RN in the stomach as security removed pt from room, RN was kicked in the chest as the pt was transported to seclusion room.?",Emergency Department,Emergency Department,  ,,
11/5/2024,No,Employee,PSYCHIATRIC TECHNICIAN,Abuse/Assault (Physical),  ,Physical Restraints utilized; Seclusion of Patient,Action by Patient/Resident,  ,,  ,"Pt was slamming the door with a chair, so we went over to take the chairs, and he kicked me in the stomach I told him not to he stated he was going to do it again he tried to kick me again and another tech grabbed his legs.",Emergency Department,Emergency Department,  ,,
11/5/2024,Unknown,"Affiliate (contracted staff, student)",Security Guard,Abuse/Assault (Physical),  ,Law Enforcement involved/notified; Other,Other,  ,,  ,"On Tuesday November 5, 2024, at approximately 0943 the patient is escorted by security to the Main Entrance. At approximately 0945 the patient?exits the hospital and was asked to leave property the patient at this time who was no longer a patient at NL-EMMC?attempted to gain entry back into the hospital, Security Supervisor steps in front of the individual in which the?individual attempts to push the Security Supervisor out of the way, Security Supervisor steps in front of the individual in which the?individual attempts to push the Security Supervisor out of the way, the individual was taken to the ground and placed in a 
hold for the safety of the surrounding individuals and security while attempting to gain control of the individuals arms the?individual grabbed Security Officer wrist and twisted it. Bangor PD was contacted, and the individual was released?from the hold and began to depart campus at approximately 0949. At approximately 1028 Bangor PD Officers?arrive and gives security statement sheets and Security Supervisor informs them of what happens and?departs at approximately 1039. Officer is pressing charges but deny any 
medical attention or EAP. ?Security cleared ",Grounds & Common Areas (Outside),Grounds & Common Areas,  ,,
11/5/2024,Unknown,"Affiliate (contracted staff, student)",Security Guard,Abuse/Assault (Physical),  ,Law Enforcement involved/notified; Other,Other,  ,,  ,"On Tuesday November 5, 2024, at approximately 0943 the patient is escorted by security to the Main Entrance. At approximately 0945 the patient?exits the hospital and was asked to leave property the patient at this time who was no longer a patient at NL-EMMC?attempted to gain entry back into the hospital, Security Supervisor steps in front of the individual in which the?individual attempts to push the Security Supervisor out of the way, the individual was taken to the ground and placed in a?hold for the safety of the surrounding individuals.? At approximately 1028 Bangor PD Officers arrive and gives security statement sheets and Security Supervisor informs them of what happens and?departs at approximately 1039. Security Supervisor is pressing charges but deny any?medical attention or EAP.? Security cleared ",Grounds & Common Areas (Outside),Grounds & Common Areas,  ,,
11/13/2024,  ,"Affiliate (contracted staff, student)",Registered Nurse,Abuse/Assault (Physical),  ,EAP - Offered/Employee Assistance Program Information Provided; Physical Restraints utilized; Safety Alert Button Activated,Altered Mental Status,  ,,  ,"Pt intubated. trying to ween propofol and start precedex. pt awake and calm so rn weened precedex as well. pt. was on no sedation and fully woke up agitated and agressive. code gray called. multiple people in room holding him down. vent disconnected due to agitation. thrashing around and bent this rn's finger back. sedation restarted. I do not wish to be seen at this time regarding my finger. EEP offered and I refused. security, nursing supervisor and nurse manager made aware.?",Intensive Care Unit,Patient Unit - Intensive/Critical Care,  ,,
11/10/2024,Yes,Employee,Staff Nurse,Abuse/Assault (Physical),Grabbing/Pinching/Scratching/Hair Pull,Treatment Provided,Action by Patient/Resident; Altered Mental Status; Staff - Fatigue; Staff - Insufficient Staff,Abrasion; Bleeding/Hemorrhage; Inflammation; Laceration/Cut/Tear; Pain,Inside of left arm,  ,"Pt in room 379 M.M was incontinent of urine. Myself and 2 other staff members went in and assisted changing the pt. Pt became agitated and scratched me down the inside of my arm.?

This has been happening consistently with helping the patient with personal care.?",Medical Surgical Unit - KPO3,Patient Unit - Medical/Surgical,  ,,
11/13/2024,Yes,Employee,REGISTERED NURSE I,Abuse/Assault (Physical),  ,Reported to department leader; Seclusion of Patient; Treatment Provided,Inpatient Bed Unavailable,Pain,left eye,  ,"Patient escalating and security notified. This RN went to overflow milieu along with security staff and other RNs. Security and staff prepared to move patient to seclusion for patient and staff safety. Patient was hitting, kicking, trying to bite staff and successfully grabbed hair of other RN and tried to pull her toward him. This RN secured the patient's hand and RNs hair and patient attempted to bite this RN. This RN stated ""NO"" firmly and the patient released other RNS hair and hit this RN in the left eye, breaking glasses and making contact with eye, cheek, and eyebrow. Patient continued to 33 with security and was medicated per PRN orders. IM PRN obtained from MD but patient eventually agreed to PO PRN. See charting of primary night nurse for information.",Emergency Department,Emergency Department,No,,
11/4/2024,Yes,Employee,CERTIFIED NURSING ASSISTANT II,Abuse/Assault (Physical),  ,No Action,Action by Patient/Resident,Other,Head- Concussion,  ,420A had hit me on the right side of the head where my left side hit the wall in the doorway of the room,Cardiac Unit - G4,Patient Unit - Cardiac Tele/Intermediate Care,Yes,,
11/18/2024,No,Employee,CT TECHNOLOGIST II/RAD,Abuse/Assault (Physical),  ,Reported to department leader,Action by Patient/Resident; Patient - Lack of Compliance/Adherence; Under Influence of Substance(s),  ,,  ,"Positioning patient for chest xray, patient became uncooperative and swung and punched me in the chest. I ended the exam and patient was taken away by nurse.",Imaging,Radiology/Imaging,  ,,
11/27/2024,No,Employee,CT TECHNOLOGIST/RAD,Abuse/Assault (Physical),  ,No Action,Action by Patient/Resident,  ,,  ,CT patient flailed hands and arms while transferring from CT table to stretcher. Patient made contact with CT technicians' right side of head/face.??,CT Scan,Radiology/Imaging,  ,,
11/2/2024,No,Employee,Staff Nurse,Abuse/Assault (Physical),  ,Disciplinary Action,Agitated,  ,,  ,"pt was being escorted by security into room 33, this RN opened the door for security when the pt reached out and grabbed this RN by the hair with both hands?",Emergency Department,Emergency Department,  ,,
11/5/2024,Yes,Employee,RESPIRATORY THERAPIST III,Abuse/Assault (Physical),  ,Safety Alert Button Activated,Patient - Lack of Compliance/Adherence,Pain,"Left shoulder discomfort, red mark on right side of face.?",  ,Patient became combative immediately after being extubated. Patient's forearm came into contact with the side of my face with enough force to cause an audible sound and red mark. Patient had ahold of my left arm and pulled on it during this encounter. Strong line bade initiated. I did not initially remember getting hit by patient.??,Intensive Care Unit - G8,Patient Unit - Intensive/Critical Care,  ,,
11/18/2024,Yes,Employee,CHARGE NURSE,Abuse/Assault (Physical),Kicking/Hitting/Beating,Chemical Restraint/Medication administered; EAP - Offered/Employee Assistance Program Information Provided; Formal complaint filed with law enforcement; Law Enforcement involved/notified; Reported to department leader,Action by Patient/Resident,Pain,Right Forearm,  ,"Pt laying on OR table, sterile prep had been done. I was standing on her left side and had my hand gently on her forearm to prevent her from touching the prep.? Pt screaming at everyone in the OR ""What is taking so fucking long"" ""Where is the fucking doctor, why did you bring me in here just to make me wait"" Pt had a contraction and was visibly in pain - I encouraged her not to touch the sterile prep and she then told me to ""get the fuck out you fucking bitch"" and proceeded to hit my right forearm 3-4 times. I told her ""do not hit me again"". She proceeded to hit me again and Dr. Houni and Justin Alley CRNA then had to restrain her and put her under general anesthesia for the surgery.",Labor and Delivery Unit,Patient Unit - Women & Children,  ,Yes,11/19/2024
11/19/2024,Unknown,Employee,Registered Nurse,Abuse/Assault (Physical),Kicking/Hitting/Beating,Physical Restraints utilized,Altered Mental Status; Patient - Lack of Understanding,  ,,  ,"RN was redirecting patient in room 529 back to posey bed. CNA was also helping. During the process of getting patient into posey bed, patient punched the net hitting RN in the RUA.?
Patient has TBI.?",Medical Surgical Unit - G5,Patient Unit - Medical/Surgical,  ,,
11/28/2024,No,"Affiliate (contracted staff, student)",Registered Nurse,Abuse/Assault (Physical),  ,Safety Alert Button Activated,Action by Patient/Resident,  ,,  ,assaulted by a patient.? denies injury.? nurse no longer works here.? she was a traveler.?,Medical Surgical Unit - G6,Patient Unit - Medical/Surgical,  ,,
11/7/2024,Yes,Employee,CERTIFIED NURSING ASSIST II,Abuse/Assault (Physical),Kicking/Hitting/Beating,De-escalation techniques,Altered Mental Status,Emotional Distress; Pain,Face (left eye/ left cheek),  ,I was attempting to change patients soiled Chux. As I went to tuck the clean Chux he turned away from the RN who was on the other side of the bed and back towards me and slapped me across the face.,Medical Surgical Unit - KPO3,Patient Unit - Medical/Surgical,  ,,
11/15/2024,No,Employee,Staff Nurse,Abuse/Assault (Physical),Grabbing/Pinching/Scratching/Hair Pull,No Action,Action by Patient/Resident,  ,,  ,Patient very confused and agitated. This nurse went in with? medications. Pt hit this nurse hand and the spoon with the meds fell on the bed while patient grabbed this nurse badge and continue to hit her. Reported to provider.?,Medical Surgical Unit - KPO3,Patient Unit - Medical/Surgical,  ,,
11/13/2024,Yes,Employee,Registered Nurse,Abuse/Assault (Physical),  ,Reported to department leader; Safety Alert Button Activated,Altered Mental Status,Bite - Human; Other,"Patient made contact with RNs neck but did not leave a mark, Patient punched and kicked RN",  ,"kicked, punched and bit by a patient?",Intensive Care Unit,Patient Unit - Intensive/Critical Care,No,,
11/13/2024,Yes,Employee,Registered Nurse,Abuse/Assault (Physical),  ,Chemical Restraint/Medication administered; De-escalation techniques; Physical Restraints utilized; Law Enforcement involved/notified,Action by Patient/Resident,Other,face,  ,Patient kicked me in the face while i was attempting to tie her restraint,Intensive Care Unit,Patient Unit - Intensive/Critical Care,No,,
11/19/2024,Yes,Employee,CERTIFIED NURSING ASSIST II,Abuse/Assault (Physical),Kicking/Hitting/Beating,De-escalation techniques; EAP - Offered/Employee Assistance Program Information Provided,Communication Failure,Pain,pain in ribs and lower back?,  ,395 was on the toilet i went to wipe him and he hit me in the ribs on the right side with his elbow.,Medical Surgical Unit - KPO3,Patient Unit - Medical/Surgical,No,,
11/24/2024,Yes,Employee,Staff Nurse,Abuse/Assault (Physical),Grabbing/Pinching/Scratching/Hair Pull,Reported to department leader; Treatment Provided,Action by Patient/Resident; Altered Mental Status,Other; Laceration/Cut/Tear,3 lines of scratches with small tear from 3 long fingernails,  ,"This RN together with the CNA are trying to clean the patient since patient is incontinent, and at the same time reposition patient. Patient does not want to be repositioned and is screaming. After we turned patient to my side, unfortunately patient able to reach and scratch my right arm with her long fingernails, causing 3 lines of scratches with small tear.?",Medical Surgical Unit - M3,Patient Unit - Medical/Surgical,No,,
11/20/2024,Yes,Employee,CERTIFIED NURSING ASSISTANT II,Abuse/Assault (Physical),  ,De-escalation techniques; Safety Alert Button Activated,Altered Mental Status,Head Injury,Head,  ,"Patient has been very restless and confused when I started the shift as a sitter with him, patient keep wandering around his room in the hallway wanting to get out of the hospital and go home. At this point Patient was sitting in a chair outside his room while me and a colleague a unit secretary on our floor was talking to each other, patient was just calm and looks like he was just listening to us talking. After a few minutes, patient stood up and trying to interact with us we we're talking to the patient, the patient just suddenly gets aggressive and combative he grabbed my head or near my neck I hit my head on the wall pt trying to punch me as I was trying to get away and distance myself to the patient. My colleague shouted for help as I trying to get away with the patient pressed my safety alert button, as patient still chasing me in the hallway. Other staffs came out and security came to help. Went inside our breakroom and waited for things to calm down.",Cardiac Unit - G4,Patient Unit - Cardiac Tele/Intermediate Care,Yes,,
11/18/2024,Yes,Employee,Staff Nurse,Abuse/Assault (Physical),  ,Chemical Restraint/Medication administered; EAP - Offered/Employee Assistance Program Information Provided; Reported to department leader,Homelessness/Lack of Housing,Emotional Distress; Pain,"Chest pressure/pain.

",  ,"Pt was verbally abusive towards all staff - screaming ""Get the fuck out of my room, I'm not fucking doing this anymore. You're all fucking lying to me"". Pt audible from the nurses station. I was then called into the room by the providers - Dr.1 and Dr. 2 to help deescalate the patient.? By the time I got in the room, the patient had pulled her IV out and was pulling all her EFM/TOCO monitors off. Pt stated ""I'm getting the fuck out of here, you're not doing anything to help me. I'm not speaking to these fucking doctors."" Pt demanding we call anesthesia. At this time, I was notified that EE had been hit in the face by patient.?EE had exited room and was sitting at the corner station. EE visibly upset, crying. I asked if she was OK and she had at that time said she was and she just needed a minute to calm down.? Dr. 1 witnessed the assault. About 10 minutes later, I noticed EE had moved into the triage room and was holding an emesis bag. I asked if she was okay and she told me she was having chest pain and pressure. I offered her to be seen in the ED and she agreed.",Labor and Delivery Unit,Patient Unit - Women & Children,Yes,,
11/5/2024,Yes,Employee,Staff Nurse,Abuse/Assault (Physical),Grabbing/Pinching/Scratching/Hair Pull,Physical Restraints utilized; Seclusion of Patient,Patient - Lack of Compliance/Adherence; Patient - Lack of Understanding; Psychiatric Bed Unavailable,Head Injury,right side of head/ scalp,  ,"pt was released from seclusion and started to act disorderly. Pt ran out of room 33 and towards door. When this RN went to get patient to put them back in seclusion, pt hit this RN in head and pulled my hair. Security came and grabbed pt while pt was still holding onto my hair. Pt ripped hair from my head.?",Emergency Department,Emergency Department,Yes,,
11/8/2024,Yes,,PSYCHIATRIC TECHNICIAN I,Abuse/Assault (Physical),Kicking/Hitting/Beating,Restraint,Restraint,  ,,  ,"During a restraint with 3 separate patients, I helped restrain one female patient.? During going supine, she got her leg out and kicked upward hitting me in the face, knocking my glasses off my head.? I continued with the restraint and held her legs, and eventually was swapped out and I went and helped with a different patient's restraint.? Afterwards I helped pick up blood from a separate code.? Then I went to the debrief and mentioned getting kicked in the head, and how I was fine but was now feeling dizzy.??",Patient Unit - Psych/Behavioral Health,Katahdin 1 North,,  ,
11/5/2024,No,,REGISTERED NURSE I- PSYCH,Abuse/Assault (Physical),Kicking/Hitting/Beating,De-escalation techniques; Physical Restraints utilized,Action by Patient/Resident; Staff - Insufficient Staff,  ,,  ,"Patient was in restraint in his wheelchair and staff was attempting to move it from the doorway to grab his arms, patient's arm slipped out of staffs grasp and punched me in the face.",Patient Unit - Psych/Behavioral Health,Katahdin 1 North,,  ,
11/25/2024,No,,Registered Nurse,Abuse/Assault (Physical),Kicking/Hitting/Beating,De-escalation techniques; Emergency Call/Code; Physical Restraints utilized; Reported to department leader; Seclusion of Patient,Patient - Lack of Compliance/Adherence,  ,,  ,Patient assaulted staff member striking her and kicking her,Patient Unit - Psych/Behavioral Health,Katahdin 1 South,,  ,
11/25/2024,Yes,,REGISTERED NURSE I- PSYCH,Abuse/Assault (Physical),Kicking/Hitting/Beating,De-escalation techniques; Physical Restraints utilized,Patient - Lack of Family Cooperation; Staff - Insufficient Staff,Pain; Soft Tissue Injury,patient was verbally assaultive and then physically went after another nurse and which i attempted to blocked and prevent patient hitting the other nurse at multiply times. My right arm was in between the patient and charge nurse. As a results i got hit ,  ,patient was verbally assaultive and then physically went after another nurse and which i attempted to blocked and prevent patient hitting the other nurse at multiply times. My right arm was in between the patient and charge nurse. As a results i got hit?,Patient Unit - Psych/Behavioral Health,Katahdin 1 South,,  ,
11/5/2024,No,,REGISTERED NURSE I- PSYCH,Abuse/Assault (Physical),Kicking/Hitting/Beating,Physical Restraints utilized,Action by Patient/Resident,  ,,  ,"Patient had been escalated all morning and hasn't been able to deescalate. Patient was attempting to hit staff, another staff supported and she punched the staff in the nose",Patient Unit - Psych/Behavioral Health,Katahdin 2 South,,  ,
11/1/2024,No,,REGISTERED NURSE I- PSYCH,Abuse/Assault (Physical),Kicking/Hitting/Beating,De-escalation techniques; Physical Restraints utilized; Safety Alert Button Activated,Action by Patient/Resident,  ,,  ,"Patient was escalated and began to kick my leg/foot, punch my left arm, and headbutt me.",Patient Unit - Psych/Behavioral Health,Katahdin 2 South,,  ,
11/10/2024,Yes,,RESOURCE TECHNICIAN,Abuse/Assault (Physical),Kicking/Hitting/Beating,No Action,Action by Patient/Resident,Other,Right kneecap and testicles?,  ,"While doing an escort, the patient started kicking this writer in the right kneecap multiple times. This writer started to place the patient into prone position due to the assault upon transfer, however, was told not to by the pediatric supervisor since the patient had stopped kicking for the moment. After walking a couple more feet the patient started kicking this writer in the same kneecap again, so we transitioned to a wall hold. While on the wall the patient was able to kick this writer in the knee again and then in the testicles.?

During the debrief this writer inquired as to why we didn't go prone and was given the explanation that it was due to not wanting to upset another patient who has recently gotten aggressive and assaulted someone during a peer's restraint, however, that patient was currently in the group room not witnessing the event?",Patient Unit - Psych/Behavioral Health,Katahdin 1 South,,No,
11/26/2024,Yes,,PSYCHIATRIC TECHNICIAN I,Abuse/Assault (Physical),Spitting,Physical Restraints utilized; Seclusion of Patient,Action by Patient/Resident,Exposure - Body Fluids,The patient's saliva got into both my eyes. It stung for a short time.?,  ,A patient on K2N spit in my eyes while in chair restraint. I washed my eyes out thoroughly and my vision is not impacted as of right now.,Patient Unit - Psych/Behavioral Health,Katahdin 2 North,,No,
11/2/2024,Yes,,PSYCHIATRIC TECHNICIAN I,Abuse/Assault (Physical),Throwing an Object/Breaking Object,No Action,Action by Patient/Resident; Patient - Lack of Compliance/Adherence,Pain,"Back of head, mild pain, no intervention",  ,"After being redirected to stop throwing things at staff, patient threw a ball at this staff's head and hit the back center of this staff's head. There was mild pain for less than a minute, but no further concerns have been noticed as of yet.",Patient Unit - Psych/Behavioral Health,Katahdin 2 North,,No,
11/13/2024,Yes,,PSYCHIATRIC TECHNICIAN I,Abuse/Assault (Physical),Kicking/Hitting/Beating; Pushing/Shoving,Other,Action by Patient/Resident; Agitated; Willful Misconduct,Other; Pain,abdomen,  ,"At roughly 18:50, the patient was asked to either be in her room or movie. The patient then shoved staff member Sophie H. twice and punched her once in the abdomen. The patient was then restrained",Patient Unit - Psych/Behavioral Health,Katahdin 2 South,,No,
11/3/2024,Yes,,REGISTERED NURSE I- PSYCH,Abuse/Assault (Physical),Biting; Kicking/Hitting/Beating,De-escalation techniques; Physical Restraints utilized; Safety Alert Button Activated,Action by Patient/Resident,Bite - Human,"Right forearm, chest",  ,Patient bit my right forearm while in restraint and also was headbanging into my chest repeatedly while in childs hold.,Patient Unit - Psych/Behavioral Health,Katahdin 2 South,,No,
11/2/2024,Yes,,REGISTERED NURSE I- PSYCH,Abuse/Assault (Physical),Posturing,Physical Restraints utilized,Staff - Scheduling Issues,Pain,Right shoulder and back,  ,Patient to patient assault that this RN and another tech tried to break up and one of the patients became severely assaultive towards staff,Patient Unit - Psych/Behavioral Health,Katahdin 2 South,,No,
11/18/2024,Yes,,REGISTERED NURSE I- PSYCH,Abuse/Assault (Physical),Kicking/Hitting/Beating,De-escalation techniques,Action by Patient/Resident; Patient - Lack of Compliance/Adherence,Pain,abdomen,  ,"Patient was escalated and was asked to leave the group room. Patient eventually was able to leave but, on his way, out he body checked this RN and elbowed Rn in the stomach.",Patient Unit - Psych/Behavioral Health,Katahdin 2 South,,No,
11/2/2024,Yes,,PSYCHIATRIC TECHNICIAN I,Abuse/Assault (Physical),Kicking/Hitting/Beating,Physical Restraints utilized; Safety Alert Button Activated; Seclusion of Patient,Action by Patient/Resident,Pain,right shoulder?,  ,While attempting to initiate restraint on pt after assaulting another pt I was hit multiple times and fell to the ground. Currently I only have slight pain in my right shoulder?,Patient Unit - Psych/Behavioral Health,Katahdin 2 South,,No,
11/3/2024,Yes,,PSYCHIATRIC TECHNICIAN I,Abuse/Assault (Physical),Grabbing/Pinching/Scratching/Hair Pull,Physical Restraints utilized; Safety Alert Button Activated; Seclusion of Patient,Action by Patient/Resident,Laceration/Cut/Tear,Right wrist,  ,"While attempting to verbally deescalate a patient the patient grabbed my wrist and dug in their nails, breaking the skin.",Patient Unit - Psych/Behavioral Health,Katahdin 2 South,,No,
11/19/2024,Yes,,PSYCHIATRIC TECHNICIAN I,Abuse/Assault (Physical),Kicking/Hitting/Beating,Other,Action by Patient/Resident; Agitated; Willful Misconduct,Pain,left knee,  ,"While barricaded in the laundry room with staff, the patient kicked staff member Jen H in the left knee. Staff up ad lib with stable gait post restraint",Patient Unit - Psych/Behavioral Health,Katahdin 2 South,,No,
11/13/2024,Yes,,PSYCHIATRIC TECHNICIAN I,Abuse/Assault (Physical),Kicking/Hitting/Beating,Other,Action by Patient/Resident; Agitated,Other; Pain,left knee,  ,"While being restrained, the patient kicked staff member  in the left knee. STaff member is currently up ad lib with stable gait, but reports pain, and the extent of the injury is unknown",Patient Unit - Psych/Behavioral Health,Katahdin 2 South,,No,
11/5/2024,Yes,,REGISTERED NURSE I- PSYCH,Abuse/Assault (Physical),Kicking/Hitting/Beating,Home Rest; Reported to department leader,Action by Patient/Resident,Bruise/Contusion; Emotional Distress; Head Injury; Inflammation; Other; Pain,Nose,  ,"Patient was escalated about tape, staff attempted to put part off his paper creation in the core. Patient shoved   RN. Physical restraint initiated. While transitioning to chair patient head butted his head into   RN's nose. House admin notified. Suggested for RN to be evaluated at ED.?",Patient Unit - Psych/Behavioral Health,Katahdin 2 South,,Unknown,
