Event Date,Facility Type,Department/Office Incident Took Place,Occupational Category of Person Affected,Aggressor,Type of Violence,Primary Contributing Factors,Severity of Assault,Primary Assault Description,Assault Description,Emotional and/ or Psychological Impact,Level of Care Needed,Response Action Taken,Split Roles,General Role,General Violence_Category,General Location,General Advanced Location,General Severity Category,General Severity Numerical,General Emotional Numerical
11/6/2024,Other,Therapies (PT/OT/Speech),  ,,Disorderly Person,Altered Mental Status; Patient - Lack of Compliance/Adherence,,  ,"I WAS SITTING IN MY OFFICE IN THE FRONT OFFICE AREA WHEN I HEARD YELLING COMING FROM THE WAITING ROOM. I WENT OUT TO FIND A PATIENT YELLING AT A THERAPIST WITH SEVERAL OTHER PATIENTS IN THE WAITING ROOM.
I WENT TO THE UPSET PATIENT AND INTRODUCED MYSELF AND ASKED IF HE WOULD LIKE TO SIT AND TALK WITH ME IN OUR CONFERENCE ROOM FOR MORE PRIVACY. HE SAID YES AND WE WENT INTO THE CONFERENCE ROOM BUT I DID LEAVE THE DOOR OPEN FOR SAFETY REASON AS HE WAS VISIBLY UPSET.
AFTER LISTENING TO THE PATIENT, I WAS ABLE TO OFFER SEVERAL CHOICES FOR WHAT HE COULD DO GOING FORWARD, HE CHOSE ONE AND WAS ABLE TO SETTLE DOWN AND WAS THEN TEARY EYED AND APOLOGETIC. PATIENT STATED THAT HE HAD A LOT GOING ON AND KNEW THAT HE WAS HAVING ISSUES MENTALLY AND WAS SEEKING HELP. I OFFERED TO CALL OUR PATIENT ADVOCATE FOR HIM BUT HE TOLD ME THAT HE HAD ALREADY REACHED OUT TO SOMEONE AND WAS LOOKING TO MEET WITH THEM SOON. ASSISTED PATIENT IN HOW TO FILL OUT A MEDICAL RELEASE FORM SO THAT HE COULD OBTAIN HIS RECORDS IF HE DECIDED TO GO TO A DIFFERENT CLINIC. HE WANTED TO THINK ABOUT HIS OPTIONS SOME MORE AND STATED HE WOULD REACH OUT TO US. HE DID CALL BACK AFTER I LEFT WORK AND SPOKE WITH KB ON THE PHONE.",,,De-escalation techniques,,,Disorderly Conduct,ED/ER,Clinical Unit,Unknown,,
11/13/2024,Other,Outpt Practice - Pediatrics,  ,,Threat of Violence,Action by Patient/Resident,Mild,  ,"Went out to grab patient from the waiting room, opened the door and called the pt by his first name. Dad stood up, picked his child up, i let him know what room we were going to be in today. He started walking to the door i was holding open for him, when he got closer to me he came and walked up to me and in my personal space/bubble (about 6 inches between him and I) looked me in the eyes and held contact as he walked past me and said ""hello, how are you"" in a forceful/hostile tone. I ignored the whole interaction hoping this would change once we got into the room. I introduced myself and started with my intake, his tone and demeanor did not change throughout my intake.?",,Urgent Care,No Action; Reported to department leader,,,Threat,ED/ER,Clinical Unit,Mild,1.0,
11/11/2024,Med/Surg/Inpatient,Patient Unit - Intensive/Critical Care,RESPIRATORY THERAPIST I- RRT,,Abuse/Assault (Physical),Action by Patient/Resident; Altered Mental Status; Patient - Lack of Compliance/Adherence; Patient - Lack of Understanding,Mild,Grabbing/Pinching/Scratching/Hair Pull,"Treating pt with increasing oxygen requirement, AMS. Pt began grabbing at son and staff and grabbed ahold of my left hand crushing it. It took assistance from staff to free my hand. I took ibuprofen and applied ice but unable to bend my index finger.",,Urgent Care,De-escalation techniques,RESPIRATORY THERAPIST I- RRT,Therapist,Physical Violence,Med/Surg/Inpatient,Clinical Unit,Mild,1.0,
12/6/2024,ED,Patient Unit - Psych/Behavioral Health,REGISTERED NURSE I- PSYCH,,Abuse/Assault (Physical),Patient - Lack of Compliance/Adherence; Staff - Insufficient Staff; Task - Emergency Situation; Task - Inexperienced Staff,,Kicking/Hitting/Beating,", RN, was on C1S with a patient that was parallel programmed. Patient coded and RN was the only staff that responded with knowledge of calling a code on the phone, child's hold MOAB and incurred a :

FAT LIP
BRUISED SHOULDER-R
BRUISED KNEE-L",,,Physical Restraints utilized,REGISTERED NURSE I- PSYCH,Nurse,Physical Violence,ED/ER,Clinical Unit,Unknown,,
12/11/2024,BC,Patient Unit - Psych/Behavioral Health,PSYCHIATRIC TECHNICIAN I,,Abuse/Assault (Physical),Action by Patient/Resident,,Grabbing/Pinching/Scratching/Hair Pull,"At approximately 11am on 12/11 This writer responded to a code grey on Cadillac 1 South, Pt was being aggressive towards staff and trying to elope, During restraint staff was in the process of rolling pt to the supine position from prone, This writer was assigned to a leg, when we had rolled pt onto their back they was able to sit up and grab my hair. Pt jerked my head to the left and would not let go of my hair. It took two staff members to get their hand out of my hair. When I stood up the left side of my neck/shoulder was rather tense from having my head jerked.?",,,No Action,PSYCHIATRIC TECHNICIAN I,Technologist/Technician,Physical Violence,BC,Clinical Unit,Unknown,,
12/31/2024,ED,Patient Unit - Psych/Behavioral Health,REGISTERED NURSE I- PSYCH,,Abuse/Assault (Physical),Action by Patient/Resident,,Kicking/Hitting/Beating,Patient was upset and agitated. While putting the patient into a restraint this writer went to help hold one of the patients legs down. Patient got leg away as this writer was trying to get hold and kicked this writer in the left lower abdomen.?,,,No Action,REGISTERED NURSE I- PSYCH,Nurse,Physical Violence,ED/ER,Clinical Unit,Unknown,,
12/21/2024,Other,Patient Unit - Psych/Behavioral Health,Mental Health Worker,,Abuse/Assault (Physical),Action by Patient/Resident,Severe,  ,"One of our nurses on Katahdin 1south,  was talking with an already escalated pt in the seclusion room and the pt lashed out and mauled Nurse. Staff were able to intervene, but it took a second to get Nurse out. She was hit in the face and possibly hit elsewhere. She is already on light duty before event happened. Nurse became dizzy, lightheaded, and vomited. She is going to the ER.",,ED,Physical Restraints utilized; Seclusion of Patient,Mental Health Worker,Mental Health,Physical Violence,Behavioral Health Unit,Clinical Unit,Severe,3.0,
12/21/2024,BC,Patient Unit - Psych/Behavioral Health,PSYCHIATRIC TECHNICIAN I,,Abuse/Assault (Physical),Action by Patient/Resident; Patient - Lack of Compliance/Adherence,,  ,pt assaulted staff by kicking them in pelvic area?,,,De-escalation techniques; Physical Restraints utilized; Seclusion of Patient,PSYCHIATRIC TECHNICIAN I,Technologist/Technician,Physical Violence,BC,Clinical Unit,Unknown,,
12/9/2024,BC,Patient Unit - Psych/Behavioral Health,PSYCHIATRIC TECHNICIAN I,,Abuse/Assault (Physical),Action by Patient/Resident,,Kicking/Hitting/Beating,"12/9/24 1610 K2S

EE-Hit?

Patient assaulted multiple staff before code called.?",,,De-escalation techniques; Emergency Call/Code; Physical Restraints utilized,PSYCHIATRIC TECHNICIAN I,Technologist/Technician,Physical Violence,BC,Clinical Unit,Unknown,,
12/9/2024,BC,Patient Unit - Psych/Behavioral Health,PSYCHIATRIC TECHNICIAN I,,Abuse/Assault (Physical),Action by Patient/Resident,,Kicking/Hitting/Beating,"12/9/24 1610 K2S

EE- Body Slammed by patient 

Patient assaulted multiple staff before code called.?",,,De-escalation techniques; Emergency Call/Code; Physical Restraints utilized,PSYCHIATRIC TECHNICIAN I,Technologist/Technician,Physical Violence,BC,Clinical Unit,Unknown,,
12/9/2024,BC,Patient Unit - Psych/Behavioral Health,PSYCHIATRIC TECHNICIAN I,,Abuse/Assault (Physical),Action by Patient/Resident,,Kicking/Hitting/Beating,"12/9/24 1610 K2S
EE-Smashed in face by his hand holding a snack bag

Patient assaulted multiple staff before code called.?",,,De-escalation techniques; Emergency Call/Code; Physical Restraints utilized,PSYCHIATRIC TECHNICIAN I,Technologist/Technician,Physical Violence,BC,Clinical Unit,Unknown,,
12/25/2024,ED,Patient Unit - Psych/Behavioral Health,REGISTERED NURSE II- PSYCH,,Abuse/Assault (Physical),Patient - Lack of Compliance/Adherence; Staff - Insufficient Staff,Severe,Grabbing/Pinching/Scratching/Hair Pull,"During a code grey event on K2S, this nurse received a small cut to the right hand pinky finger. The client, while changing hold positions, was able to grab and pinch their nail into the affected pinky finger. There is no pain, slightly bloody afterwords. 

",,ED,Treatment Provided,REGISTERED NURSE II- PSYCH,Nurse,Physical Violence,ED/ER,Clinical Unit,Severe,3.0,
12/27/2024,Other,Patient Unit - Psych/Behavioral Health,RESOURCE TECHNICIAN,,Abuse/Assault (Physical),Action by Patient/Resident,Mild,  ,"During an escalation the patient scratched this writers hand, breaking skin.?

This writer washed hands after restraint was done.?",,Urgent Care,No Action,RESOURCE TECHNICIAN,Technologist/Technician,Physical Violence,Behavioral Health Unit,Clinical Unit,Mild,1.0,
12/7/2024,Med/Surg/Inpatient,Patient Unit - Psych/Behavioral Health,RESOURCE NURSE/RN,,Abuse/Assault (Physical),Action by Patient/Resident,,Kicking/Hitting/Beating,"In a chair restraint patient head butted this RN as patient was not secured by the shoulders. RN experienced some dizziness subsequently. Will continue to monitor, but due to unit acuity RN did not feel comfortable leaving evening staff on the unit.?",,,De-escalation techniques; Physical Restraints utilized; Reported to department leader; Seclusion of Patient,RESOURCE NURSE/RN,Nurse,Physical Violence,Med/Surg/Inpatient,Clinical Unit,Unknown,,
12/27/2024,ED,Patient Unit - Psych/Behavioral Health,Registered Nurse,,Abuse/Assault (Physical),Action by Patient/Resident; Patient - Lack of Compliance/Adherence,,  ,"Patient assaulted phlebotomist this morning and was placed in restraint due to this. Phlebotomist left and patient was not given another chance for labs due to this assault; slamming her hand in the case as she was holding the needle. Following release from seclusion, he asked again about having labs done and was told that the phlebotomist had left due to him being unsafe and he would have to try a different day. Patient became upset again and started hitting and punching this RN before smacking me on the butt. Patient was again escorted to seclusion due to physical aggression, screaming and disrupting sleeping peers, verbal aggression and threatening",,,De-escalation techniques; Physical Restraints utilized; Seclusion of Patient,Registered Nurse,Nurse,Physical Violence,ED/ER,Clinical Unit,Unknown,,
12/13/2024,ED,Patient Unit - Psych/Behavioral Health,REGISTERED NURSE II- PSYCH,,Abuse/Assault (Physical),Action by Patient/Resident; Agitated,,Grabbing/Pinching/Scratching/Hair Pull,"Patient grabbed Nurse hair and pulled her to the ground on 12.13.24
Symptoms: Sore neck?",,,Unknown,REGISTERED NURSE II- PSYCH,Nurse,Physical Violence,ED/ER,Clinical Unit,Unknown,,
12/11/2024,BC,Patient Unit - Psych/Behavioral Health,PSYCHIATRIC TECHNICIAN I,,Abuse/Assault (Physical),Staff - Insufficient Staff,,Kicking/Hitting/Beating,Patient slapped 1:1 staff in group room,,,No Action,PSYCHIATRIC TECHNICIAN I,Technologist/Technician,Physical Violence,BC,Clinical Unit,Unknown,,
12/18/2024,ED,Patient Unit - Psych/Behavioral Health,Registered Nurse,,Abuse/Assault (Physical),Action by Patient/Resident; Staff - Inadequate System for Covering Patient Care; Staff - Insufficient Staff,Severe,  ,Prior to restraint pt threw foam block at this RNs throat. While in restraint escort pt tried to bite this RN in right thumb nail. Did not break skin but is painful and possibly bruised.,,ED,Seclusion of Patient,Registered Nurse,Nurse,Physical Violence,ED/ER,Clinical Unit,Severe,3.0,
12/27/2024,ED,Patient Unit - Psych/Behavioral Health,REGISTERED NURSE I- PSYCH,,Abuse/Assault (Physical),Patient Factors,,Grabbing/Pinching/Scratching/Hair Pull,"Pt scratched this writer twice, once on the right-hand drawing blood and once on the right upper bicep drawing blood and leaving a bruise.?",,,Application of Dressing,REGISTERED NURSE I- PSYCH,Nurse,Physical Violence,ED/ER,Clinical Unit,Unknown,,
12/27/2024,BC,Patient Unit - Psych/Behavioral Health,PSYCHIATRIC TECHNICIAN I,,Abuse/Assault (Physical),Action by Patient/Resident,,  ,Pt was running in milieu and slapped this staff on the butt intentionally.,,,No Action,PSYCHIATRIC TECHNICIAN I,Technologist/Technician,Physical Violence,BC,Clinical Unit,Unknown,,
12/16/2024,Other,Patient Unit - Psych/Behavioral Health,MGR- NURSING RN,,Abuse/Assault (Physical),Agitated,,Kicking/Hitting/Beating,"The below patient was being escorted to seclusion, and this writer was designated to head. The patient kicked this writer in the L Quad/Thigh when backed against the wall. This writer did not get out of the way fast enough or far enough away from the escort.?


No work missed, did not utilize ibuprofen or any analgesics. EAP offered to writer, and it was declined. No residual effect.?",,,EAP Offered,MGR- NURSING RN,Admin/Management,Physical Violence,Behavioral Health Unit,Clinical Unit,Unknown,,
12/25/2024,ED,Patient Unit - Psych/Behavioral Health,REGISTERED NURSE II- PSYCH,,Abuse/Assault (Physical),Action by Patient/Resident; Staff - Insufficient Staff,Mild,  ,This writer was administering medication to a patient in seclusion when patient proceeded to bite RN and then writer's right knee was slammed in between seclusion door and door frame. Significant bruising noted around both sides of knee.?,,Urgent Care,De-escalation techniques; Reported to department leader; Seclusion of Patient,REGISTERED NURSE II- PSYCH,Nurse,Physical Violence,ED/ER,Clinical Unit,Mild,1.0,
12/2/2024,BC,Patient Unit - Psych/Behavioral Health,PSYCHIATRIC TECHNICIAN I,,Abuse/Assault (Physical),Action by Patient/Resident,,Biting,went to stop pt from going through open door and got bit by elbow,,,Emergency Call/Code,PSYCHIATRIC TECHNICIAN I,Technologist/Technician,Physical Violence,BC,Clinical Unit,Unknown,,
12/25/2024,BC,Patient Unit - Psych/Behavioral Health,PSYCHIATRIC TECHNICIAN I,,Abuse/Assault (Physical),Action by Patient/Resident,,  ,"While attempting to keep 1:1 patient from physical altercation with a peer, the patient punched me in the face.?",,,No Action,PSYCHIATRIC TECHNICIAN I,Technologist/Technician,Physical Violence,BC,Clinical Unit,Unknown,,
12/27/2024,BC,Patient Unit - Psych/Behavioral Health,PSYCHIATRIC TECHNICIAN I,,Abuse/Assault (Physical),Action by Patient/Resident,,  ,"While escalated, pt use weighted vest to swing at staff in attempt to injure. Pt also kicked this staff in the arm while this staff was sitting at nurses station.",,,Physical Restraints utilized,PSYCHIATRIC TECHNICIAN I,Technologist/Technician,Physical Violence,BC,Clinical Unit,Unknown,,
12/28/2024,BC,Patient Unit - Psych/Behavioral Health,PSYCHIATRIC TECHNICIAN I,,Abuse/Assault (Physical),Patient - Lack of Compliance/Adherence; Policy/Procedure Issue,Severe,  ,"While patient was escalated and posturing at staff, patient swat at this staff and scratched this staff's left hand, causing a small amount of bleeding. This staff then left the floor and went to go wash their hands, and placed a band-aid on the injury.",,ED,Items properly disposed of,PSYCHIATRIC TECHNICIAN I,Technologist/Technician,Physical Violence,BC,Clinical Unit,Severe,3.0,
12/23/2024,ED,Patient Unit - Psych/Behavioral Health,REGISTERED NURSE I- PSYCH,,Abuse/Assault (Physical),Action by Patient/Resident; Self-Injurious Behavior,Severe,Kicking/Hitting/Beating,Patient assaulted staff while being aggressive,,ED,Physical Restraints utilized; Reported to department leader; Treatment Provided,REGISTERED NURSE I- PSYCH,Nurse,Physical Violence,ED/ER,Clinical Unit,Severe,3.0,
12/25/2024,ED,Patient Unit - Psych/Behavioral Health,REGISTERED NURSE I- PSYCH,,Abuse/Assault (Physical),Action by Patient/Resident,Mild,  ,at some point during the restraint patient scratched the top of my right hand drawing blood. cleaning and bandaid needed.?,,Urgent Care,Physical Restraints utilized,REGISTERED NURSE I- PSYCH,Nurse,Physical Violence,ED/ER,Clinical Unit,Mild,1.0,
12/25/2024,BC,Patient Unit - Psych/Behavioral Health,PSYCHIATRIC TECHNICIAN I,,Abuse/Assault (Physical),Patient - Lack of Compliance/Adherence,Mild,Kicking/Hitting/Beating,"During a restraint where I was helping to secure a kids leg while in the chair, he threw his leg forward and then slammed it back smashing my finger into the chair post with enough force to break my ring in half and swell/bruise my finger after the fact.",,Urgent Care,Reported to department leader,PSYCHIATRIC TECHNICIAN I,Technologist/Technician,Physical Violence,BC,Clinical Unit,Mild,1.0,
12/21/2024,BC,Patient Unit - Psych/Behavioral Health,PSYCHIATRIC TECHNICIAN I,,Abuse/Assault (Physical),Action by Patient/Resident,Severe,  ,during code while malik was on L arm patient kicked him 4 times in the head and chest.,,ED,De-escalation techniques; Reported to department leader; Seclusion of Patient; Treatment Provided,PSYCHIATRIC TECHNICIAN I,Technologist/Technician,Physical Violence,BC,Clinical Unit,Severe,3.0,
12/29/2024,BC,Patient Unit - Psych/Behavioral Health,PSYCHIATRIC TECHNICIAN I,,Abuse/Assault (Physical),Action by Patient/Resident,Mild,Kicking/Hitting/Beating,Patient became escalated due to a verbal altercation with a peer while in the gym. This staff attempted to verbally de-escalated peer. Patient kicked this staff in left leg.?,,Urgent Care,Emergency Call/Code; Safety Alert Button Activated,PSYCHIATRIC TECHNICIAN I,Technologist/Technician,Physical Violence,BC,Clinical Unit,Mild,1.0,
12/21/2024,Other,Patient Unit - Psych/Behavioral Health,RESOURCE TECHNICIAN,,Abuse/Assault (Physical),Action by Patient/Resident,Mild,  ,Staff tried to transfer pt from wall hold to chair. pt broke free and kicked this staff in the face and the knee.?,,Urgent Care,Physical Restraints utilized; Reported to department leader; Seclusion of Patient,RESOURCE TECHNICIAN,Technologist/Technician,Physical Violence,Behavioral Health Unit,Clinical Unit,Mild,1.0,
12/29/2024,ED,Patient Unit - Psych/Behavioral Health,REGISTERED NURSE I- PSYCH,,Abuse/Assault (Physical),Patient - Lack of Compliance/Adherence,Severe,Kicking/Hitting/Beating,Staff was struck upon trying to assess patient on left side of shoulder and neck and some hand pain.?,,ED,Emergency Call/Code,REGISTERED NURSE I- PSYCH,Nurse,Physical Violence,ED/ER,Clinical Unit,Severe,3.0,
12/11/2024,Other,Patient Unit - Psych/Behavioral Health,SUPV- NURSING RN,,Abuse/Assault (Physical),Action by Patient/Resident,Severe,Kicking/Hitting/Beating,"Patient kicked this RN in the groin while initiating an escort.
No intervention needed.?",,ED,No Action,SUPV- NURSING RN,Admin/Management,Physical Violence,Behavioral Health Unit,Clinical Unit,Severe,3.0,
12/22/2024,BC,Patient Unit - Psych/Behavioral Health,PSYCHIATRIC TECHNICIAN I,,Abuse/Assault (Physical),Action by Patient/Resident,Severe,Kicking/Hitting/Beating,Patient was escalated. Staff went to restrain patient and was punched in the face and glasses were knocked off.?,,ED,Physical Restraints utilized; Treatment Provided,PSYCHIATRIC TECHNICIAN I,Technologist/Technician,Physical Violence,BC,Clinical Unit,Severe,3.0,
12/31/2024,BC,Patient Unit - Psych/Behavioral Health,PSYCHIATRIC TECHNICIAN I,,Abuse/Assault (Physical),Action by Patient/Resident,Severe,Kicking/Hitting/Beating,"During gym Pt was beginning to show signs of becoming escalated, when staff attempted to verbally deescalated pt hit staff open handed ""uppercut"" to the face.?",,ED,De-escalation techniques,PSYCHIATRIC TECHNICIAN I,Technologist/Technician,Physical Violence,BC,Clinical Unit,Severe,3.0,
12/12/2024,BC,Patient Unit - Psych/Behavioral Health,PSYCHIATRIC TECHNICIAN I,,Abuse/Assault (Physical),Patient - Lack of Compliance/Adherence,Severe,Biting,Durning restraint was bit by patient and broke skin.?,,ED,Physical Restraints utilized,PSYCHIATRIC TECHNICIAN I,Technologist/Technician,Physical Violence,BC,Clinical Unit,Severe,3.0,
12/11/2024,BC,Patient Unit - Psych/Behavioral Health,PSYCHIATRIC TECHNICIAN I,,Abuse/Assault (Physical),Patient - Lack of Understanding,Severe,Biting,Got bite by patient during escort to seclusion?,,ED,Physical Restraints utilized,PSYCHIATRIC TECHNICIAN I,Technologist/Technician,Physical Violence,BC,Clinical Unit,Severe,3.0,
12/4/2024,ED,Patient Unit - Psych/Behavioral Health,REGISTERED NURSE I- PSYCH,,Abuse/Assault (Physical),Action by Patient/Resident,Severe,Biting; Grabbing/Pinching/Scratching/Hair Pull,PT dug his fingernails into this writer's wrist? and drew blood that required cleansing and multiple bandaids. This was during a supine restraint. Patient also bit my other wrist.?,,ED,Physical Restraints utilized; Reported to department leader; Seclusion of Patient,REGISTERED NURSE I- PSYCH,Nurse,Physical Violence,ED/ER,Clinical Unit,Severe,3.0,
12/21/2024,ED,Patient Unit - Psych/Behavioral Health,REGISTERED NURSE I- PSYCH,,Abuse/Assault (Physical),Action by Patient/Resident,Severe,  ,"patient was able to get legs loose from wall hold and became severely assaultive to staff. Patient began to kick and hit staff. This RN get kicked multiple times in the abdomen. Patients straps were loose in the chair, RN went in to assess and patient head butted RN in the arm.",,ED,De-escalation techniques; Physical Restraints utilized,REGISTERED NURSE I- PSYCH,Nurse,Physical Violence,ED/ER,Clinical Unit,Severe,3.0,
12/5/2024,ED,Patient Unit - Psych/Behavioral Health,Registered Nurse,,Abuse/Assault (Physical),Action by Patient/Resident; Patient - Lack of Compliance/Adherence,Severe,Kicking/Hitting/Beating,"Patient was agitated with staff began throwing books at another staff member. This RN intervened and asked patient to stop. When redirected to her room and trying to talk to her, the patient stepped forward and slapped this RN.?",,ED,De-escalation techniques,Registered Nurse,Nurse,Physical Violence,ED/ER,Clinical Unit,Severe,3.0,
12/12/2024,ED,Patient Unit - Psych/Behavioral Health,REGISTERED NURSE I- PSYCH,,Abuse/Assault (Physical),Action by Patient/Resident,Severe,Choking,Patient was escalated due to not being able to go off unit. patient began to shove and elbow staff. Patient then began to choke staff with his forearms forcefully.?,,ED,De-escalation techniques; Physical Restraints utilized,REGISTERED NURSE I- PSYCH,Nurse,Physical Violence,ED/ER,Clinical Unit,Severe,3.0,
12/3/2024,BC,Patient Unit - Psych/Behavioral Health,PSYCHIATRIC TECHNICIAN I,,Abuse/Assault (Physical),Action by Patient/Resident,Severe,Kicking/Hitting/Beating,Punched in eye socket by pt,,ED,No Action,PSYCHIATRIC TECHNICIAN I,Technologist/Technician,Physical Violence,BC,Clinical Unit,Severe,3.0,
12/1/2024,Med/Surg/Inpatient,Patient Unit - Psych/Behavioral Health,RESOURCE NURSE/RN,,Abuse/Assault (Physical),Patient - Lack of Compliance/Adherence,Severe,Biting; Grabbing/Pinching/Scratching/Hair Pull,This RN went to secure the leg and strained right side of neck to acromion process trying to get away from patient who had also bitten her on shoulder when client broke free from staff securing his arms.?,,ED,Emergency Call/Code; Physical Restraints utilized; Seclusion of Patient,RESOURCE NURSE/RN,Nurse,Physical Violence,Med/Surg/Inpatient,Clinical Unit,Severe,3.0,
12/5/2024,Other,Patient Unit - Psych/Behavioral Health,RESOURCE TECHNICIAN,,Abuse/Assault (Physical),Action by Patient/Resident,Mild,Grabbing/Pinching/Scratching/Hair Pull,"While escorting patient from group room to bedroom, patient scratched staffs lower right arm leaving scratch/ dig marks.?",,Urgent Care,Physical Restraints utilized; Reported to department leader,RESOURCE TECHNICIAN,Technologist/Technician,Physical Violence,Behavioral Health Unit,Clinical Unit,Mild,1.0,
12/10/2024,ED,Patient Unit - Psych/Behavioral Health,REGISTERED NURSE II- PSYCH,,Abuse/Assault (Physical),Action by Patient/Resident,Mild,Kicking/Hitting/Beating,"While Patient was being escorted i help open the door to the west hall.? patient then swung his body up and kicked, making contact with this heel to my left chest area.? ?Initially i was out of breath but was able to recover.? ?No bruising at this time.",,Urgent Care,No Action; Seclusion of Patient,REGISTERED NURSE II- PSYCH,Nurse,Physical Violence,ED/ER,Clinical Unit,Mild,1.0,
12/25/2024,ED,Patient Unit - Psych/Behavioral Health,REGISTERED NURSE II- PSYCH,,Abuse/Assault (Physical),Action by Patient/Resident; Staff - Insufficient Staff,Severe,Biting,Patient bit staff in right upper arm as RN was leaving the seclusion room after giving psychiatric emergency medication.?,,ED,De-escalation techniques; Seclusion of Patient,REGISTERED NURSE II- PSYCH,Nurse,Physical Violence,ED/ER,Clinical Unit,Severe,3.0,
12/7/2024,ED,Patient Unit - Psych/Behavioral Health,REGISTERED NURSE I- PSYCH,,Abuse/Assault (Physical),Interference by Patient/Resident,Severe,Biting,EE 1803 incurred a bite to her right hand and had her left hand scratched by patient ,,ED,De-escalation techniques; Physical Restraints utilized; Safety Alert Button Activated; Seclusion of Patient,REGISTERED NURSE I- PSYCH,Nurse,Physical Violence,ED/ER,Clinical Unit,Severe,3.0,
12/31/2024,BC,Patient Unit - Psych/Behavioral Health,PSYCHIATRIC TECHNICIAN I,,Abuse/Assault (Physical),Action by Patient/Resident,Severe,  ,"While entering a patient's room to conduct a restraint, I was punched in the nose by the patient.",Mild,ED,Physical Restraints utilized,PSYCHIATRIC TECHNICIAN I,Technologist/Technician,Physical Violence,BC,Clinical Unit,Severe,3.0,1.0
12/5/2024,BC,Patient Unit - Psych/Behavioral Health,PSYCHIATRIC TECHNICIAN I,,Abuse/Assault (Physical),Action by Patient/Resident; Staff - Insufficient Staff,Severe,Kicking/Hitting/Beating; Throwing an Object/Breaking Object,pt slapped me in the face then proceeded threw 4 hard cover books at my face and one hit me in the face,,ED,No Action,PSYCHIATRIC TECHNICIAN I,Technologist/Technician,Physical Violence,BC,Clinical Unit,Severe,3.0,
12/26/2024,ED,Patient Unit - Psych/Behavioral Health,REGISTERED NURSE I- PSYCH,,Abuse/Assault (Physical),Patient - Lack of Compliance/Adherence,Severe,  ,"Patient was escalated and was assaulting staff, RN went to attempt to de-escalate patient, and he punched RN in the face",,ED,De-escalation techniques; Physical Restraints utilized; Treatment Provided,REGISTERED NURSE I- PSYCH,Nurse,Physical Violence,ED/ER,Clinical Unit,Severe,3.0,
12/25/2024,ED,Patient Unit - Psych/Behavioral Health,REGISTERED NURSE II- PSYCH,,Abuse/Assault (Physical),Action by Patient/Resident,Severe,Kicking/Hitting/Beating,"Supporting on K2N for code. In chair restraint attempting to get ahold of legs got kicked in the face(chin). Fell backwards and possibly hit head on wall or floor when thrown by kick. Some blood on chin I cleaned up. Feeling a bit dizzy and have a headache. Will continue to monitor and will seek medical attention if warranted and will reach out to manager. At this point plan is to ice, rest.??",,ED,De-escalation techniques,REGISTERED NURSE II- PSYCH,Nurse,Physical Violence,ED/ER,Clinical Unit,Severe,3.0,
12/19/2024,ED,Patient Unit - Psych/Behavioral Health,REGISTERED NURSE I- PSYCH,,Abuse/Assault (Physical),Action by Patient/Resident; Patient - Lack of Compliance/Adherence,Severe,Kicking/Hitting/Beating,"Patient postured at staff members and then kicked at employee. Employee states that she twisted her body to block her stomach from getting kicked as she had recent surgery, but patient still caught the left side of her stomach, hip, and back area.",,ED,Physical Restraints utilized; Reported to department leader; Safety Alert Button Activated; Treatment Provided,REGISTERED NURSE I- PSYCH,Nurse,Physical Violence,ED/ER,Clinical Unit,Severe,3.0,
12/4/2024,Med/Surg/Inpatient,Patient Unit - Psych/Behavioral Health,RESOURCE NURSE/RN,,Abuse/Assault (Physical),Action by Patient/Resident; Patient - Lack of Compliance/Adherence,Severe,Kicking/Hitting/Beating,"A patient on Katahdin 2 South was being escorted to the seclusion room. During the escort, I attempted to go toward the anteroom door to open it. The patient was greatly struggling during the restraint, including kicking at staff. When I attempted to open the anteroom door, the patient kicked me in the groin, causing significant pain.",,ED,Physical Restraints utilized; Reported to department leader,RESOURCE NURSE/RN,Nurse,Physical Violence,Med/Surg/Inpatient,Clinical Unit,Severe,3.0,
12/24/2024,BC,Patient Unit - Psych/Behavioral Health,PSYCHIATRIC TECHNICIAN I,,Abuse/Assault (Physical),Action by Patient/Resident,Severe,Kicking/Hitting/Beating,Psychiatric technician was assaulted by a male patient when he became escalated without provocation. He chased her and punched her multiple times in the head.?,,ED,Safety Alert Button Activated; Treatment Provided,PSYCHIATRIC TECHNICIAN I,Technologist/Technician,Physical Violence,BC,Clinical Unit,Severe,3.0,
12/13/2024,Other,Patient Unit - Psych/Behavioral Health,INPATIENT COORDINATOR,,Abuse/Assault (Physical),Action by Patient/Resident; Patient - Lack of Compliance/Adherence,Severe,Grabbing/Pinching/Scratching/Hair Pull; Kicking/Hitting/Beating,"Pt punch writer in R. Eye as well as scratched writer on nose, drawing blood when bringing Pt to seclusion room/blanket wrapping Pt. Writer at the time of writing this is seeing spots and is light headed/ dizzy.?",,ED,Referred to Employee Health,INPATIENT COORDINATOR,Nurse,Physical Violence,Behavioral Health Unit,Clinical Unit,Severe,3.0,
12/11/2024,BC,Patient Unit - Psych/Behavioral Health,PSYCHIATRIC TECHNICIAN I,,Sexual Contact,Patient - Lack of Compliance/Adherence; Patient - Lack of Understanding,,  ,Patient was walking around outside their room and walked up to me and grab my vaginal area?,,,Physical Restraints utilized,PSYCHIATRIC TECHNICIAN I,Technologist/Technician,Sexual Violence,BC,Clinical Unit,Unknown,,
